missing_required_reports,numeric_evidence_present,query_type,question_id,report_coverage,required_generation_behavior,required_report_ids,retrieval_all_reports_hit,retrieval_complete_evidence_recall,retrieval_evidence_recall,selected_chunk_count,sufficiency_reasons,sufficiency_status,table_or_numeric_question
[],True,single_report,oct_dev_001,1.0,answer,"[""rbi_mpr_2025_10""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,oct_dev_002,1.0,answer,"[""rbi_mpr_2025_10""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,oct_dev_003,1.0,answer,"[""rbi_mpr_2025_10""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,oct_dev_004,1.0,answer,"[""rbi_mpr_2025_10""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,oct_dev_005,1.0,answer,"[""rbi_mpr_2025_10""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,oct_dev_006,1.0,answer,"[""rbi_mpr_2025_10""]",True,True,1.0,6,[],sufficient,False
[],True,single_report,apr26_dev_001,1.0,answer_with_caveat,"[""rbi_mpr_2026_04""]",False,False,0.0,6,"[""incomplete_evidence"", ""low_evidence_recall""]",partially_sufficient,False
[],True,single_report,apr26_dev_002,1.0,answer,"[""rbi_mpr_2026_04""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,apr26_dev_003,1.0,answer_with_caveat,"[""rbi_mpr_2026_04""]",False,False,0.0,6,"[""incomplete_evidence"", ""low_evidence_recall""]",partially_sufficient,True
[],True,single_report,apr26_dev_004,1.0,answer_with_caveat,"[""rbi_mpr_2026_04""]",False,False,0.0,6,"[""incomplete_evidence"", ""low_evidence_recall""]",partially_sufficient,True
[],True,single_report,apr26_dev_005,1.0,answer,"[""rbi_mpr_2026_04""]",True,True,1.0,6,[],sufficient,True
[],True,single_report,apr26_dev_006,1.0,answer,"[""rbi_mpr_2026_04""]",True,True,1.0,6,[],sufficient,False
[],True,pairwise_comparison,cmp_dev_001,1.0,answer,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",True,True,1.0,10,[],sufficient,True
[],True,pairwise_comparison,cmp_dev_002,1.0,answer_with_caveat,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",True,False,0.5,10,"[""incomplete_evidence""]",partially_sufficient,True
[],True,pairwise_comparison,cmp_dev_003,1.0,answer,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",True,True,1.0,10,[],sufficient,True
[],True,pairwise_comparison,cmp_dev_004,1.0,answer_with_caveat,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",False,False,0.5,10,"[""incomplete_evidence""]",partially_sufficient,True
[],True,pairwise_comparison,cmp_dev_005,1.0,answer_with_caveat,"[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",False,False,0.5,10,"[""incomplete_evidence""]",partially_sufficient,True
[],True,pairwise_comparison,cmp_dev_006,1.0,answer_with_caveat,"[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",False,False,0.0,10,"[""incomplete_evidence"", ""low_evidence_recall""]",partially_sufficient,True
