accepted_pages,category,evidence_recall,expected_evidence_count,final_found,loss_stage,mrr,query_type,question_id,report_id,selected_pages
[10],food_inflation,1.0,1,True,evidence_found,1.0,single_report,oct_dev_001,rbi_mpr_2025_10,"[10, 35, 24, 32, 26, 30]"
[10],monetary_policy,1.0,1,True,evidence_found,0.3333333333333333,single_report,oct_dev_002,rbi_mpr_2025_10,"[66, 72, 10, 11, 71, 66]"
[10],core_inflation,1.0,1,True,evidence_found,0.5,single_report,oct_dev_003,rbi_mpr_2025_10,"[102, 10, 34, 32, 33, 96]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,single_report,oct_dev_004,rbi_mpr_2025_10,"[12, 12, 22, 21, 13, 20]"
[12],global_growth,1.0,1,True,evidence_found,1.0,single_report,oct_dev_005,rbi_mpr_2025_10,"[12, 9, 12, 20, 98, 17]"
[52],fiscal_borrowing,1.0,1,True,evidence_found,1.0,single_report,oct_dev_006,rbi_mpr_2025_10,"[52, 52, 52, 9, 80, 66]"
[5],food_inflation,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_001,rbi_mpr_2026_04,"[83, 82, 94, 81, 81, 85]"
[26],monetary_policy,1.0,1,True,evidence_found,0.25,single_report,apr26_dev_002,rbi_mpr_2026_04,"[101, 101, 102, 26, 34, 20]"
[5],core_inflation,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_003,rbi_mpr_2026_04,"[92, 94, 90, 88, 101, 92]"
[5],commodity_assumptions,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_004,rbi_mpr_2026_04,"[110, 86, 40, 106, 116, 95]"
[5],global_growth,1.0,1,True,evidence_found,1.0,single_report,apr26_dev_005,rbi_mpr_2026_04,"[5, 25, 56, 13, 14, 16]"
[64],fiscal_borrowing,1.0,1,True,evidence_found,0.5,single_report,apr26_dev_006,rbi_mpr_2026_04,"[65, 64, 34, 66, 64, 32]"
[12],food_inflation,1.0,1,True,evidence_found,0.5,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_04,"[42, 12, 34, 32, 31]"
[10],food_inflation,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_10,"[10, 32, 26, 36, 35]"
[12],monetary_policy,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_04,"[18, 112, 12, 107, 100]"
[10],monetary_policy,0.0,1,True,evidence_found,0.2,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_10,"[11, 68, 66, 104, 10]"
[14],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_04,"[14, 14, 14, 19, 20]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_10,"[12, 12, 21, 13, 12]"
[14],global_growth,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_04,"[21, 15, 101, 11, 101]"
[12],global_growth,1.0,1,True,evidence_found,0.5,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_10,"[9, 12, 9, 13, 21]"
[10],food_inflation,1.0,1,True,evidence_found,0.25,pairwise_comparison,cmp_dev_005,rbi_mpr_2025_10,"[26, 11, 32, 10, 25]"
[5],food_inflation,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,cmp_dev_005,rbi_mpr_2026_04,"[82, 81, 86, 91, 101]"
[10],monetary_policy,0.0,1,True,evidence_found,0.2,pairwise_comparison,cmp_dev_006,rbi_mpr_2025_10,"[66, 74, 68, 110, 10]"
[26],monetary_policy,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_006,rbi_mpr_2026_04,"[20, 86, 30, 60, 82]"
[12],global_growth,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_007,rbi_mpr_2025_10,"[17, 95, 12, 9, 9]"
