abstained,citation_correctness,generation_factual_correctness,generation_faithfulness,generation_success,query_type,question_id,retrieval_all_reports_hit,retrieval_complete_evidence_recall,retrieval_evidence_recall,retrieval_macro_mrr,table_or_numeric_question,temporal_attribution_correctness
False,1.0,1.0,1.0,True,single_report,oct_dev_001,True,True,1.0,1.0,False,1.0
False,1.0,0.8571428571428571,0.9333333333333333,True,single_report,oct_dev_002,True,True,1.0,0.3333333333333333,True,1.0
False,1.0,0.21428571428571427,0.7692307692307693,True,single_report,oct_dev_003,True,True,1.0,0.5,True,1.0
False,1.0,0.5,0.9,True,single_report,oct_dev_004,True,True,1.0,1.0,True,1.0
False,1.0,1.0,0.88,True,single_report,oct_dev_005,True,True,1.0,1.0,True,1.0
False,1.0,0.36363636363636365,1.0,True,single_report,oct_dev_006,True,True,1.0,1.0,False,1.0
False,1.0,0.45454545454545453,1.0,True,single_report,apr26_dev_001,False,False,0.0,0.0,False,1.0
False,1.0,0.7,1.0,True,single_report,apr26_dev_002,True,True,1.0,0.25,True,1.0
False,1.0,0.7777777777777778,1.0,True,single_report,apr26_dev_003,False,False,0.0,0.0,False,1.0
False,1.0,0.45454545454545453,0.9375,True,single_report,apr26_dev_004,False,False,0.0,0.0,True,1.0
False,1.0,0.9090909090909091,1.0,True,single_report,apr26_dev_005,True,True,1.0,1.0,False,1.0
False,1.0,0.5384615384615384,1.0,True,single_report,apr26_dev_006,True,True,1.0,0.5,False,1.0
False,1.0,0.6,0.9111111111111111,True,pairwise_comparison,cmp_dev_001,True,True,1.0,0.75,True,1.0
False,1.0,0.7333333333333333,0.717391304347826,True,pairwise_comparison,cmp_dev_002,True,False,0.5,0.26666666666666666,True,1.0
False,1.0,0.7777777777777778,0.8461538461538461,True,pairwise_comparison,cmp_dev_003,True,True,1.0,1.0,True,1.0
False,1.0,1.0,0.967741935483871,True,pairwise_comparison,cmp_dev_004,False,False,0.5,0.25,True,1.0
False,1.0,0.5,0.8541666666666666,True,pairwise_comparison,cmp_dev_005,False,False,0.5,0.125,False,1.0
False,1.0,0.6666666666666666,0.9390243902439024,True,pairwise_comparison,cmp_dev_006,False,False,0.0,0.125,True,1.0
False,1.0,0.8666666666666667,0.7924528301886793,True,pairwise_comparison,cmp_dev_007,False,False,0.5,0.16666666666666666,True,1.0
False,1.0,0.8421052631578947,0.9444444444444444,True,pairwise_comparison,cmp_dev_008,True,True,1.0,0.6666666666666666,False,1.0
False,1.0,0.8181818181818182,0.9418604651162791,True,pairwise_comparison,cmp_dev_009,False,False,0.0,0.0,True,1.0
False,1.0,0.5833333333333334,0.8571428571428571,True,pairwise_comparison,cmp_dev_010,False,False,0.0,0.0,True,1.0
False,1.0,0.6470588235294118,0.8936170212765957,True,pairwise_comparison,cmp_dev_011,False,False,0.5,0.5,True,1.0
False,1.0,0.8666666666666667,1.0,True,pairwise_comparison,cmp_dev_012,False,False,0.5,0.16666666666666666,False,1.0
False,1.0,0.4827586206896552,0.9537037037037037,True,trend_all_reports,trend_dev_001,False,False,0.3333333333333333,0.16666666666666666,True,1.0
False,1.0,0.5263157894736842,0.8118811881188119,True,trend_all_reports,trend_dev_002,False,False,0.0,0.0,True,1.0
False,1.0,0.7368421052631579,0.9253731343283582,True,trend_all_reports,trend_dev_003,False,False,0.6666666666666666,0.5,True,1.0
False,1.0,0.4666666666666667,0.8723404255319149,True,trend_all_reports,trend_dev_004,False,False,0.0,0.0,True,1.0
False,1.0,0.95,0.9420289855072463,True,trend_all_reports,trend_dev_005,True,True,1.0,0.6666666666666666,False,1.0
False,1.0,0.4666666666666667,0.8333333333333334,True,trend_all_reports,trend_dev_006,True,True,1.0,0.5277777777777778,True,1.0
False,0.0,0.0,0.0,True,unsupported_period,unsupported_dev_001,,,,0.0,False,0.0
True,0.0,,1.0,True,unsupported_period,unsupported_dev_002,,,,0.0,False,0.0
True,0.0,,1.0,True,unsupported_period,unsupported_dev_003,,,,0.0,True,0.0
False,0.0,0.0,0.0,True,unsupported_period,unsupported_dev_004,,,,0.0,False,0.0
