question_id,report_id,dense_found,bm25_found,union_found,fusion_found,final_found
oct_dev_001,rbi_mpr_2025_10,True,True,True,True,True
oct_dev_002,rbi_mpr_2025_10,True,True,True,True,True
oct_dev_003,rbi_mpr_2025_10,True,True,True,True,False
oct_dev_004,rbi_mpr_2025_10,True,True,True,True,True
oct_dev_005,rbi_mpr_2025_10,False,True,True,True,False
oct_dev_006,rbi_mpr_2025_10,True,True,True,True,True
apr26_dev_001,rbi_mpr_2026_04,True,True,True,True,True
apr26_dev_002,rbi_mpr_2026_04,True,True,True,True,False
apr26_dev_003,rbi_mpr_2026_04,True,True,True,True,False
apr26_dev_004,rbi_mpr_2026_04,True,True,True,False,False
apr26_dev_005,rbi_mpr_2026_04,True,True,True,True,False
apr26_dev_006,rbi_mpr_2026_04,True,True,True,True,True
cmp_dev_001,rbi_mpr_2025_04,True,True,True,False,False
cmp_dev_001,rbi_mpr_2025_10,True,True,True,True,False
cmp_dev_002,rbi_mpr_2025_04,True,True,True,True,True
cmp_dev_002,rbi_mpr_2025_10,True,True,True,True,True
cmp_dev_003,rbi_mpr_2025_04,True,True,True,True,True
cmp_dev_003,rbi_mpr_2025_10,True,True,True,True,True
cmp_dev_004,rbi_mpr_2025_04,False,True,True,False,False
cmp_dev_004,rbi_mpr_2025_10,False,True,True,False,False
cmp_dev_005,rbi_mpr_2025_10,True,True,True,True,True
cmp_dev_005,rbi_mpr_2026_04,True,True,True,True,False
cmp_dev_006,rbi_mpr_2025_10,True,True,True,True,True
cmp_dev_006,rbi_mpr_2026_04,False,True,True,False,False
cmp_dev_007,rbi_mpr_2025_10,False,True,True,False,False
cmp_dev_007,rbi_mpr_2026_04,True,True,True,True,False
cmp_dev_008,rbi_mpr_2025_10,True,False,True,True,True
cmp_dev_008,rbi_mpr_2026_04,True,False,True,False,False
cmp_dev_009,rbi_mpr_2025_04,True,False,True,False,False
cmp_dev_009,rbi_mpr_2026_04,True,False,True,False,False
cmp_dev_010,rbi_mpr_2025_04,True,False,True,False,False
cmp_dev_010,rbi_mpr_2026_04,True,True,True,False,False
cmp_dev_011,rbi_mpr_2025_04,True,True,True,True,True
cmp_dev_011,rbi_mpr_2026_04,True,True,True,True,False
cmp_dev_012,rbi_mpr_2025_04,True,True,True,True,False
cmp_dev_012,rbi_mpr_2026_04,True,False,True,True,True
trend_dev_001,rbi_mpr_2025_04,False,False,False,False,False
trend_dev_001,rbi_mpr_2025_10,True,False,True,False,False
trend_dev_001,rbi_mpr_2026_04,True,False,True,False,False
trend_dev_002,rbi_mpr_2025_04,False,False,False,False,False
trend_dev_002,rbi_mpr_2025_10,True,True,True,True,False
trend_dev_002,rbi_mpr_2026_04,False,False,False,False,False
trend_dev_003,rbi_mpr_2025_04,True,False,True,True,True
trend_dev_003,rbi_mpr_2025_10,True,False,True,True,True
trend_dev_003,rbi_mpr_2026_04,True,True,True,True,False
trend_dev_004,rbi_mpr_2025_04,False,False,False,False,False
trend_dev_004,rbi_mpr_2025_10,False,False,False,False,False
trend_dev_004,rbi_mpr_2026_04,False,False,False,False,False
trend_dev_005,rbi_mpr_2025_04,True,True,True,True,False
trend_dev_005,rbi_mpr_2025_10,True,False,True,True,True
trend_dev_005,rbi_mpr_2026_04,True,False,True,True,True
trend_dev_006,rbi_mpr_2025_04,True,True,True,True,True
trend_dev_006,rbi_mpr_2025_10,True,True,True,True,False
trend_dev_006,rbi_mpr_2026_04,True,True,True,True,False
