accepted_pages,category,evidence_recall,expected_evidence_count,final_found,loss_stage,mrr,query_type,question_id,report_id,selected_pages
[13],growth_outlook,1.0,1,True,evidence_found,0.5,single_report,single_test_001,rbi_mpr_2025_04,"[20, 13, 54, 12, 12, 19]"
[13],inflation_outlook,1.0,1,True,evidence_found,0.3333333333333333,single_report,single_test_002,rbi_mpr_2025_04,"[18, 17, 13, 27, 30, 38]"
[11],monetary_policy,0.0,1,False,lost_by_quota,0.0,single_report,single_test_003,rbi_mpr_2025_10,"[66, 10, 110, 73, 10, 60]"
[10],food_inflation,1.0,1,True,evidence_found,0.2,single_report,single_test_004,rbi_mpr_2025_10,"[26, 25, 32, 40, 10, 30]"
[101],growth_outlook,1.0,1,True,evidence_found,0.5,single_report,single_test_005,rbi_mpr_2026_04,"[56, 101, 102, 111, 111, 103]"
[103],inflation_outlook,1.0,1,True,evidence_found,0.5,single_report,single_test_006,rbi_mpr_2026_04,"[80, 103, 88, 82, 90, 92]"
[57],fiscal_borrowing,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,pair_test_001,rbi_mpr_2025_04,"[60, 98, 76, 102, 96]"
[52],fiscal_borrowing,1.0,1,True,evidence_found,0.5,pairwise_comparison,pair_test_001,rbi_mpr_2025_10,"[55, 52, 72, 32, 66]"
[13],monetary_policy,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,pair_test_002,rbi_mpr_2025_04,"[12, 110, 22, 113, 112]"
[11],monetary_policy,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,pair_test_002,rbi_mpr_2025_10,"[66, 10, 10, 32, 102]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,pair_test_003,rbi_mpr_2025_10,"[12, 12, 21, 36, 13]"
[5],commodity_assumptions,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,pair_test_003,rbi_mpr_2026_04,"[105, 105, 99, 86, 56]"
[10],core_inflation,1.0,1,True,evidence_found,0.5,pairwise_comparison,pair_test_004,rbi_mpr_2025_10,"[102, 10, 32, 34, 10]"
[5],core_inflation,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,pair_test_004,rbi_mpr_2026_04,"[82, 79, 102, 94, 81]"
[14],global_growth,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,pair_test_005,rbi_mpr_2025_04,"[22, 58, 99, 20, 66]"
[5],global_growth,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,pair_test_005,rbi_mpr_2026_04,"[16, 56, 102, 46, 112]"
[13],monetary_policy,1.0,1,True,evidence_found,0.5,trend_all_reports,trend_test_001,rbi_mpr_2025_04,"[78, 13, 78, 78, 12]"
[11],monetary_policy,1.0,1,True,evidence_found,0.5,trend_all_reports,trend_test_001,rbi_mpr_2025_10,"[10, 11, 10, 73, 73]"
[26],monetary_policy,0.0,1,False,lost_in_fusion,0.0,trend_all_reports,trend_test_001,rbi_mpr_2026_04,"[103, 20, 102, 20, 105]"
[14],global_growth,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_test_002,rbi_mpr_2025_04,"[13, 21, 102, 99, 99]"
[12],global_growth,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_test_002,rbi_mpr_2025_10,"[42, 97, 17, 98, 97]"
[5],global_growth,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_test_002,rbi_mpr_2026_04,"[112, 13, 105, 112, 77]"
[],unsupported,,0,,not_in_candidate_union,0.0,unsupported_period,unsupported_test_002,rbi_mpr_2025_10,[]
