case_id,query,expected_query_type,actual_query_type,expected_report_ids,actual_report_ids,correct,routing_reason
route_001,What was projected inflation in April 2025?,single_report,single_report,"[""rbi_mpr_2025_04""]","[""rbi_mpr_2025_04""]",True,Exact registered report period matched
route_002,What growth did RBI project in October 2025?,single_report,single_report,"[""rbi_mpr_2025_10""]","[""rbi_mpr_2025_10""]",True,Exact registered report period matched
route_003,What does the April 2026 report say about inflation?,single_report,single_report,"[""rbi_mpr_2026_04""]","[""rbi_mpr_2026_04""]",True,Exact registered report period matched
route_004,Summarise the RBI MPR from April 2025.,single_report,single_report,"[""rbi_mpr_2025_04""]","[""rbi_mpr_2025_04""]",True,Exact registered report period matched
route_005,What was the policy stance in October 2025?,single_report,single_report,"[""rbi_mpr_2025_10""]","[""rbi_mpr_2025_10""]",True,Exact registered report period matched
route_006,Give the growth outlook from April 2026.,single_report,single_report,"[""rbi_mpr_2026_04""]","[""rbi_mpr_2026_04""]",True,Exact registered report period matched
route_007,Compare inflation projections in April and October 2025.,pairwise_comparison,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",True,Two registered report periods requested
route_008,Compare October 2025 versus April 2026 growth forecasts.,pairwise_comparison,pairwise_comparison,"[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Two registered report periods requested
route_009,April 2025 vs April 2026: how did inflation risks change?,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2026_04""]",True,Trend across multiple explicit periods
route_010,Compare the policy stance between April 2025 and October 2025.,pairwise_comparison,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",True,Two registered report periods requested
route_011,How did RBI's inflation concerns evolve across these reports?,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend/all-report keyword detected
route_012,Show the growth trend across reports.,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend/all-report keyword detected
route_013,What changed in policy stance over time?,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend/all-report keyword detected
route_014,Summarise inflation across all reports.,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend/all-report keyword detected
route_015,How did growth expectations evolve?,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend/all-report keyword detected
route_016,What does the latest report say about growth?,latest_report,latest_report,"[""rbi_mpr_2026_04""]","[""rbi_mpr_2026_04""]",True,Latest chronological registered report requested
route_017,Give me inflation risks in the latest MPR.,latest_report,latest_report,"[""rbi_mpr_2026_04""]","[""rbi_mpr_2026_04""]",True,Latest chronological registered report requested
route_018,What did the earliest report say about inflation?,single_report,single_report,"[""rbi_mpr_2025_04""]","[""rbi_mpr_2025_04""]",True,Earliest chronological registered report requested
route_019,What did the previous report say about growth?,single_report,single_report,"[""rbi_mpr_2025_10""]","[""rbi_mpr_2025_10""]",True,Previous report interpreted relative to latest registered report
route_020,What does RBI say about inflation?,global_unspecified,global_unspecified,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,No explicit period; search all reports with report balance
route_021,What are RBI's growth concerns?,global_unspecified,global_unspecified,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,No explicit period; search all reports with report balance
route_022,Explain RBI liquidity conditions.,global_unspecified,global_unspecified,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,No explicit period; search all reports with report balance
route_023,Compare April 2024 and April 2025.,unsupported_period,unsupported_period,"[""rbi_mpr_2025_04""]","[""rbi_mpr_2025_04""]",True,Unavailable requested period(s): 4/2024
route_024,What did the October 2024 MPR project?,unsupported_period,unsupported_period,[],[],True,Unavailable requested period(s): 10/2024
route_025,Compare April 2026 with October 2026.,unsupported_period,unsupported_period,"[""rbi_mpr_2026_04""]","[""rbi_mpr_2026_04""]",True,Unavailable requested period(s): 10/2026
route_026,What was inflation in April 2023?,unsupported_period,unsupported_period,[],[],True,Unavailable requested period(s): 4/2023
route_027,Compare growth in April 2025 versus April 2026.,pairwise_comparison,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2026_04""]",True,Two registered report periods requested
route_028,How did liquidity change from October 2025 to April 2026?,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend across multiple explicit periods
route_029,Review all reports for inflation and growth.,trend_all_reports,trend_all_reports,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",True,Trend/all-report keyword detected
route_030,What is the difference between April 2025 and October 2025 inflation projections?,pairwise_comparison,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]","[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",True,Two registered report periods requested
