bm25_found,dense_found,experiment_id,final_found,fusion_found,loss_stage,query_type,question_id,report_id,reranker_found,reranker_input_found,union_found
True,True,FR04,True,True,evidence_found,single_report,oct_dev_001,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,single_report,oct_dev_002,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,single_report,oct_dev_003,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,single_report,oct_dev_004,rbi_mpr_2025_10,True,True,True
True,False,FR04,False,True,lost_by_quota,single_report,oct_dev_005,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,single_report,oct_dev_006,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,single_report,apr26_dev_001,rbi_mpr_2026_04,True,True,True
True,True,FR04,False,True,lost_by_quota,single_report,apr26_dev_002,rbi_mpr_2026_04,True,True,True
True,True,FR04,False,True,lost_by_quota,single_report,apr26_dev_003,rbi_mpr_2026_04,True,True,True
True,True,FR04,False,True,lost_by_quota,single_report,apr26_dev_004,rbi_mpr_2026_04,True,True,True
True,True,FR04,False,True,lost_by_quota,single_report,apr26_dev_005,rbi_mpr_2026_04,True,True,True
True,True,FR04,True,True,evidence_found,single_report,apr26_dev_006,rbi_mpr_2026_04,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_04,True,True,True
True,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_04,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_04,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_10,True,True,True
True,False,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_04,True,True,True
True,False,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_10,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_005,rbi_mpr_2025_10,True,True,True
True,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_005,rbi_mpr_2026_04,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_006,rbi_mpr_2025_10,True,True,True
True,False,FR04,False,False,lost_in_fusion,pairwise_comparison,cmp_dev_006,rbi_mpr_2026_04,False,False,True
True,False,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_007,rbi_mpr_2025_10,True,True,True
True,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_007,rbi_mpr_2026_04,True,True,True
False,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_008,rbi_mpr_2025_10,True,True,True
False,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_008,rbi_mpr_2026_04,True,True,True
False,True,FR04,False,False,lost_in_fusion,pairwise_comparison,cmp_dev_009,rbi_mpr_2025_04,False,False,True
False,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_009,rbi_mpr_2026_04,True,True,True
False,True,FR04,False,False,lost_in_fusion,pairwise_comparison,cmp_dev_010,rbi_mpr_2025_04,False,False,True
True,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_010,rbi_mpr_2026_04,True,True,True
True,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_011,rbi_mpr_2025_04,True,True,True
True,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_011,rbi_mpr_2026_04,True,True,True
True,True,FR04,False,True,lost_by_quota,pairwise_comparison,cmp_dev_012,rbi_mpr_2025_04,True,True,True
False,True,FR04,True,True,evidence_found,pairwise_comparison,cmp_dev_012,rbi_mpr_2026_04,True,True,True
False,False,FR04,False,False,not_in_candidate_union,trend_all_reports,trend_dev_001,rbi_mpr_2025_04,False,False,False
False,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_001,rbi_mpr_2025_10,True,True,True
False,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_001,rbi_mpr_2026_04,True,True,True
False,False,FR04,False,False,not_in_candidate_union,trend_all_reports,trend_dev_002,rbi_mpr_2025_04,False,False,False
True,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_002,rbi_mpr_2025_10,True,True,True
False,False,FR04,False,False,not_in_candidate_union,trend_all_reports,trend_dev_002,rbi_mpr_2026_04,False,False,False
False,True,FR04,True,True,evidence_found,trend_all_reports,trend_dev_003,rbi_mpr_2025_04,True,True,True
False,True,FR04,True,True,evidence_found,trend_all_reports,trend_dev_003,rbi_mpr_2025_10,True,True,True
True,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_003,rbi_mpr_2026_04,True,True,True
False,False,FR04,False,False,not_in_candidate_union,trend_all_reports,trend_dev_004,rbi_mpr_2025_04,False,False,False
False,False,FR04,False,False,not_in_candidate_union,trend_all_reports,trend_dev_004,rbi_mpr_2025_10,False,False,False
False,False,FR04,False,False,not_in_candidate_union,trend_all_reports,trend_dev_004,rbi_mpr_2026_04,False,False,False
True,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_005,rbi_mpr_2025_04,True,True,True
False,True,FR04,True,True,evidence_found,trend_all_reports,trend_dev_005,rbi_mpr_2025_10,True,True,True
False,True,FR04,True,True,evidence_found,trend_all_reports,trend_dev_005,rbi_mpr_2026_04,True,True,True
True,True,FR04,True,True,evidence_found,trend_all_reports,trend_dev_006,rbi_mpr_2025_04,True,True,True
True,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_006,rbi_mpr_2025_10,True,True,True
True,True,FR04,False,True,lost_by_quota,trend_all_reports,trend_dev_006,rbi_mpr_2026_04,True,True,True
