pipeline,question_id,question,accepted_pages,retrieved_chunk_ids,retrieved_pages,raw_scores,rank_first_accepted_page,hit,reciprocal_rank,latency_ms
dense,q01,What was India's real GDP growth for 2024-25 per the second advance estimate?,[11],"[""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p048_c03"", ""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p059_c00""]","[12, 48, 11, 59]","[0.513571504511886, 0.5119333408039646, 0.49451000221695496, 0.4933281202910125]",3,True,0.3333333333333333,67.63850001152605
dense,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p107_c01""]","[12, 73, 69, 107]","[0.5009486076765702, 0.4794905512816128, 0.4762825860540546, 0.3905392903245829]",1,True,1.0,29.852000006940216
dense,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p013_c03""]","[12, 12, 13, 13]","[0.2456766101888801, 0.24421394595815804, 0.2297172845317449, 0.20566803989033777]",3,True,0.3333333333333333,30.056499992497265
dense,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p005_c00"", ""rbi_mpr_2025_04_p016_c03"", ""rbi_mpr_2025_04_p028_c03"", ""rbi_mpr_2025_04_p016_c00""]","[5, 16, 28, 16]","[0.3563158807463429, 0.3273183432086657, 0.3098892726502587, 0.3097425173237437]",2,True,0.5,29.208799998741597
dense,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p018_c00"", ""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p025_c03"", ""rbi_mpr_2025_04_p026_c03""]","[18, 17, 25, 26]","[0.6040811030457578, 0.5940764527336357, 0.5567351035962569, 0.54642547868831]",2,True,0.5,26.799499988555908
dense,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p026_c03"", ""rbi_mpr_2025_04_p031_c02"", ""rbi_mpr_2025_04_p027_c03"", ""rbi_mpr_2025_04_p012_c05""]","[26, 31, 27, 12]","[0.6283361928952922, 0.5586610459858106, 0.5513754574585205, 0.5427266712629939]",,False,0.0,30.115399975329638
dense,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p020_c03"", ""rbi_mpr_2025_04_p048_c03"", ""rbi_mpr_2025_04_p021_c03"", ""rbi_mpr_2025_04_p020_c00""]","[20, 48, 21, 20]","[0.5898579325193318, 0.4965459057342737, 0.4832193672630686, 0.4780354313367742]",1,True,1.0,27.57540001766756
dense,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p026_c00""]","[25, 105, 105, 26]","[0.6066794984033028, 0.6005900795836003, 0.5911898572259731, 0.5905772527828672]",1,True,1.0,27.309600031003356
dense,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p105_c01""]","[26, 25, 41, 105]","[0.5878860922117497, 0.5513069266828418, 0.5122845083457573, 0.4930725418016425]",1,True,1.0,29.998700018040836
dense,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p031_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p031_c01"", ""rbi_mpr_2025_04_p030_c00""]","[31, 25, 31, 30]","[0.6250154005542703, 0.5780673937952577, 0.5769431687580782, 0.5657127616507138]",1,True,1.0,28.91639998415485
