classification,estimated_input_tokens,evidence_rank_after_reranking,evidence_rank_before_reranking,experiment_id,final_selected,input_text_length,question_id,rank_change,report_id,reranker_score,truncation_risk
unchanged,,1,1,AQ01,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
promoted,,4,6,AQ01,True,,oct_dev_002,2,rbi_mpr_2025_10,,False
promoted,,3,10,AQ01,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,9,14,AQ01,True,,oct_dev_005,5,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
demoted,,2,1,AQ01,True,,apr26_dev_001,-1,rbi_mpr_2026_04,,False
demoted,,17,7,AQ01,True,,apr26_dev_002,-10,rbi_mpr_2026_04,,False
demoted,,12,4,AQ01,True,,apr26_dev_003,-8,rbi_mpr_2026_04,,False
promoted,,12,16,AQ01,True,,apr26_dev_004,4,rbi_mpr_2026_04,,False
promoted,,10,14,AQ01,True,,apr26_dev_005,4,rbi_mpr_2026_04,,False
demoted,,3,2,AQ01,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,3,25,AQ01,True,,cmp_dev_001,22,rbi_mpr_2025_04,,False
demoted,,4,1,AQ01,True,,cmp_dev_001,-3,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,cmp_dev_002,0,rbi_mpr_2025_04,,False
demoted,,2,1,AQ01,True,,cmp_dev_002,-1,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,AQ01,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,AQ01,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,3,1,AQ01,True,,cmp_dev_005,-2,rbi_mpr_2025_10,,False
demoted,,24,2,AQ01,True,,cmp_dev_005,-22,rbi_mpr_2026_04,,False
unchanged,,2,2,AQ01,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,14,20,AQ01,True,,cmp_dev_007,6,rbi_mpr_2025_10,,False
demoted,,20,7,AQ01,True,,cmp_dev_007,-13,rbi_mpr_2026_04,,False
promoted,,1,11,AQ01,True,,cmp_dev_008,10,rbi_mpr_2025_10,,False
promoted,,1,25,AQ01,True,,cmp_dev_008,24,rbi_mpr_2026_04,,False
promoted,,1,4,AQ01,True,,cmp_dev_011,3,rbi_mpr_2025_04,,False
demoted,,23,11,AQ01,True,,cmp_dev_011,-12,rbi_mpr_2026_04,,False
demoted,,11,5,AQ01,True,,cmp_dev_012,-6,rbi_mpr_2025_04,,False
promoted,,1,9,AQ01,True,,cmp_dev_012,8,rbi_mpr_2026_04,,False
promoted,,4,21,AQ01,True,,trend_dev_001,17,rbi_mpr_2026_04,,False
demoted,,11,5,AQ01,True,,trend_dev_002,-6,rbi_mpr_2025_10,,False
promoted,,1,9,AQ01,True,,trend_dev_003,8,rbi_mpr_2025_04,,False
promoted,,2,12,AQ01,True,,trend_dev_003,10,rbi_mpr_2025_10,,False
demoted,,7,6,AQ01,True,,trend_dev_003,-1,rbi_mpr_2026_04,,False
demoted,,3,1,AQ01,True,,trend_dev_005,-2,rbi_mpr_2025_04,,False
promoted,,1,11,AQ01,True,,trend_dev_005,10,rbi_mpr_2025_10,,False
promoted,,2,15,AQ01,True,,trend_dev_005,13,rbi_mpr_2026_04,,False
unchanged,,1,1,AQ01,True,,trend_dev_006,0,rbi_mpr_2025_04,,False
demoted,,6,2,AQ01,True,,trend_dev_006,-4,rbi_mpr_2025_10,,False
demoted,,4,1,AQ01,True,,trend_dev_006,-3,rbi_mpr_2026_04,,False
unchanged,,1,1,BM02,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
promoted,,4,6,BM02,True,,oct_dev_002,2,rbi_mpr_2025_10,,False
promoted,,3,10,BM02,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,9,14,BM02,True,,oct_dev_005,5,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
demoted,,2,1,BM02,True,,apr26_dev_001,-1,rbi_mpr_2026_04,,False
demoted,,17,7,BM02,True,,apr26_dev_002,-10,rbi_mpr_2026_04,,False
demoted,,12,4,BM02,True,,apr26_dev_003,-8,rbi_mpr_2026_04,,False
promoted,,12,16,BM02,True,,apr26_dev_004,4,rbi_mpr_2026_04,,False
promoted,,10,14,BM02,True,,apr26_dev_005,4,rbi_mpr_2026_04,,False
demoted,,3,2,BM02,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,3,25,BM02,True,,cmp_dev_001,22,rbi_mpr_2025_04,,False
demoted,,4,1,BM02,True,,cmp_dev_001,-3,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,cmp_dev_002,0,rbi_mpr_2025_04,,False
demoted,,2,1,BM02,True,,cmp_dev_002,-1,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,BM02,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,BM02,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,3,1,BM02,True,,cmp_dev_005,-2,rbi_mpr_2025_10,,False
demoted,,24,2,BM02,True,,cmp_dev_005,-22,rbi_mpr_2026_04,,False
unchanged,,2,2,BM02,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,14,20,BM02,True,,cmp_dev_007,6,rbi_mpr_2025_10,,False
demoted,,20,7,BM02,True,,cmp_dev_007,-13,rbi_mpr_2026_04,,False
promoted,,1,11,BM02,True,,cmp_dev_008,10,rbi_mpr_2025_10,,False
