method,experiment_id,scope,dataset_split,retrieval_or_generation,parser,embedding_model,bm25_enabled,dense_enabled,hybrid_enabled,rrf_enabled,weighted_rrf_enabled,multi_query_enabled,facet_enabled,mmr_enabled,reranker_provider,reranker_model,sufficiency_gate_enabled,hit_rate,all_reports_hit,complete_evidence_recall,evidence_recall,mrr,macro_mrr,factual_correctness,faithfulness_to_context,contextual_relevancy,contextual_recall,citation_correctness,citation_completeness,temporal_attribution_correctness,comparative_correctness,abstention_correctness,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_estimated_tokens,report_coverage,single_report_contamination,status,notes,source_artifact,sort_order
Single-document Dense,dense,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,False,True,False,False,False,False,False,False,,,False,0.8333333333333334,,,,0.6555555555555556,,,,,,,,,,,30.671183332257595,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,1
Single-document Dense + reranker,dense_reranked,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,False,True,False,False,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,0.9,,,,0.8277777777777777,,,,,,,,,,,1075.7706166691303,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,2
Single-document BM25,bm25,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,False,False,False,False,False,False,False,,,False,0.8333333333333334,,,,0.6916666666666667,,,,,,,,,,,2.1740566667479775,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,3
Single-document BM25 + reranker,bm25_reranked,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,False,False,False,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,0.8666666666666667,,,,0.7666666666666667,,,,,,,,,,,785.4780566645786,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,4
Single-document Hybrid RRF,hybrid_rrf,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,,,False,0.8,,,,0.7444444444444444,,,,,,,,,,,25.771019995833438,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,5
Single-document Hybrid RRF + reranker,hybrid_reranked,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,0.9333333333333333,,,,0.8222222222222223,,,,,,,,,,,1233.9421933419846,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,6
Multi-report naive global retrieval,naive_global,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.16666666666666666,0.1,0.2111111111111111,,0.24166666666666667,,,,,,,,,,942.80305588344,1052.6096999528818,1322.4499999778345,,0.9388888888888889,0.9166666666666666,completed,Naive global retrieval over all reports; higher contamination.,reports/multi_report/architecture_comparison.json,20
Multi-report report-aware retrieval,report_aware_dev,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.36666666666666664,0.3333333333333333,0.46111111111111114,,0.33888888888888885,,,,,,,,,,1684.4348882407169,1817.9881999385543,3717.9011999396607,,1.0,0.0,completed,Report-aware routing reduced contamination and improved evidence metrics.,reports/multi_report/architecture_comparison.json,30
Dense-only temporal retrieval,dense_temporal_only,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,False,True,False,False,False,False,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,implemented_not_independently_evaluated,Dense retrieval is implemented and used inside hybrid temporal retrieval; no standalone temporal dense-only result artifact was found.,configs/multi_report.yaml; no standalone metric artifact,40
BM25-only temporal retrieval,bm25_temporal_only,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,False,False,False,False,False,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,implemented_not_independently_evaluated,BM25 retrieval is implemented and used inside hybrid temporal retrieval; no standalone temporal BM25-only result artifact was found.,configs/multi_report.yaml; no standalone metric artifact,41
