accepted_pages,category,evidence_recall,expected_evidence_count,final_found,loss_stage,mrr,query_type,question_id,report_id,selected_pages
[10],food_inflation,1.0,1,True,evidence_found,1.0,single_report,oct_dev_001,rbi_mpr_2025_10,"[10, 102, 11, 35, 32, 25]"
[10],monetary_policy,1.0,1,True,evidence_found,0.25,single_report,oct_dev_002,rbi_mpr_2025_10,"[72, 66, 66, 10, 74, 76]"
[10],core_inflation,1.0,1,True,evidence_found,0.3333333333333333,single_report,oct_dev_003,rbi_mpr_2025_10,"[102, 34, 10, 32, 23, 24]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,single_report,oct_dev_004,rbi_mpr_2025_10,"[12, 12, 13, 12, 66, 12]"
[12],global_growth,0.0,1,False,lost_by_quota,0.0,single_report,oct_dev_005,rbi_mpr_2025_10,"[98, 13, 13, 9, 38, 99]"
[52],fiscal_borrowing,1.0,1,True,evidence_found,1.0,single_report,oct_dev_006,rbi_mpr_2025_10,"[52, 52, 52, 80, 72, 9]"
[5],food_inflation,1.0,1,True,evidence_found,0.5,single_report,apr26_dev_001,rbi_mpr_2026_04,"[83, 5, 85, 115, 82, 94]"
[26],monetary_policy,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_002,rbi_mpr_2026_04,"[34, 20, 88, 86, 102, 101]"
[5],core_inflation,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_003,rbi_mpr_2026_04,"[92, 91, 94, 94, 103, 101]"
[5],commodity_assumptions,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_004,rbi_mpr_2026_04,"[113, 40, 99, 110, 13, 116]"
[5],global_growth,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_005,rbi_mpr_2026_04,"[13, 14, 16, 25, 56, 108]"
[64],fiscal_borrowing,1.0,1,True,evidence_found,0.3333333333333333,single_report,apr26_dev_006,rbi_mpr_2026_04,"[65, 66, 64, 69, 34, 64]"
[12],food_inflation,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_04,"[32, 42, 12, 38, 30]"
[10],food_inflation,1.0,1,True,evidence_found,0.25,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_10,"[32, 36, 25, 10, 26]"
[12],monetary_policy,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_04,"[12, 52, 107, 108, 18]"
[10],monetary_policy,0.0,1,True,evidence_found,0.5,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_10,"[66, 10, 32, 40, 102]"
[14],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_04,"[14, 22, 14, 15, 20]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_10,"[12, 12, 13, 21, 21]"
[14],global_growth,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_04,"[22, 15, 15, 99, 99]"
[12],global_growth,1.0,1,True,evidence_found,0.25,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_10,"[9, 99, 97, 12, 97]"
[10],food_inflation,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_005,rbi_mpr_2025_10,"[32, 36, 10, 25, 25]"
[5],food_inflation,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,cmp_dev_005,rbi_mpr_2026_04,"[82, 83, 87, 94, 92]"
[10],monetary_policy,0.0,1,True,evidence_found,0.5,pairwise_comparison,cmp_dev_006,rbi_mpr_2025_10,"[66, 10, 68, 32, 74]"
[26],monetary_policy,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_006,rbi_mpr_2026_04,"[102, 20, 14, 56, 100]"
